iter	RMSE
0	3430.240579
1	2833.040394
2	2466.013489
3	2202.096074
4	2036.141948
5	1918.981342
6	1844.847934
7	1798.834486
8	1759.820707
9	1736.203273
10	1714.416352
11	1698.18112
12	1677.605429
13	1666.559914
14	1656.108641
15	1644.591364
16	1633.720919
17	1625.789748
18	1617.94703
19	1610.796259
20	1606.638933
21	1600.073612
22	1594.897333
23	1588.835926
24	1581.846442
25	1575.730874
26	1571.294922
27	1564.893659
28	1560.240574
29	1556.852653
30	1553.220985
31	1549.782579
32	1545.542031
33	1541.862692
34	1538.14675
35	1535.632651
36	1532.851383
37	1530.341669
38	1528.413329
39	1526.045158
40	1522.608037
41	1520.111837
42	1518.289866
43	1515.537852
44	1513.010543
45	1510.599581
46	1508.933367
47	1507.144987
48	1503.717797
49	1502.643681
50	1499.962574
51	1497.967383
52	1496.275008
53	1494.425618
54	1493.015587
55	1491.102921
56	1488.677085
57	1488.173445
58	1487.819661
59	1486.76385
