iter	Passed	Remaining
0	307	18162
1	489	14206
2	654	12428
3	817	11442
4	985	10836
5	1149	10349
6	1302	9862
7	1452	9439
8	1622	9195
9	1776	8880
10	1948	8681
11	2114	8459
12	2269	8206
13	2419	7948
14	2579	7737
15	2726	7498
16	2880	7285
17	3029	7068
18	3177	6856
19	3321	6642
20	3497	6494
21	3646	6299
22	3799	6112
23	3950	5925
24	4113	5759
25	4271	5585
26	4422	5405
27	4573	5226
28	4718	5043
29	4866	4866
30	5047	4722
31	5197	4547
32	5349	4376
33	5495	4202
34	5644	4031
35	5797	3865
36	5956	3702
37	6102	3532
38	6254	3367
39	6402	3201
40	6570	3044
41	6725	2882
42	6884	2721
43	7033	2557
44	7180	2393
45	7329	2230
46	7485	2070
47	7640	1910
48	7797	1750
49	7957	1591
50	8128	1434
51	8281	1274
52	8434	1113
53	8591	954
54	8750	795
55	8903	635
56	9073	477
57	9221	317
58	9338	158
59	9488	0
