iter	Logloss
0	0.6512223436
1	0.6250442841
2	0.6030037538
3	0.5898323711
4	0.5754326577
5	0.5630893359
6	0.5511772788
7	0.5449709607
8	0.5401539861
9	0.5380830002
10	0.5330996507
11	0.528099285
12	0.5251165615
13	0.5193497683
14	0.5171165918
15	0.5147818649
16	0.5140562671
17	0.5123275414
18	0.5111249622
19	0.5106975957
20	0.5079574503
21	0.5074103156
22	0.5061564713
23	0.5017375311
24	0.5009173795
25	0.5003101731
26	0.4985439834
27	0.495797234
28	0.4945847126
29	0.493044988
30	0.4925007472
31	0.4913460356
32	0.4886772515
33	0.4872418848
34	0.4866037333
35	0.4857197011
36	0.4855543812
37	0.4837651339
38	0.4827783219
39	0.4818427492
40	0.4807598187
41	0.4799056517
42	0.4797240258
43	0.4774718264
44	0.4773365414
45	0.47649611
46	0.4761118048
47	0.4752713303
48	0.4750765369
49	0.4748926813
50	0.4728310912
51	0.4710357001
52	0.4708717933
53	0.4692265674
54	0.4686729504
55	0.4686168881
56	0.4679036979
57	0.4677184307
58	0.466991638
59	0.4668437655
60	0.4646983388
61	0.4614440313
62	0.4584406451
63	0.4580982544
64	0.4574743701
65	0.4570065774
66	0.4567739531
67	0.4542888052
68	0.4521079834
69	0.4509570173
70	0.4504912934
71	0.4502740085
72	0.4497515236
73	0.4492379372
74	0.4471347823
75	0.447110738
76	0.4463618616
77	0.4463150312
78	0.4459207024
79	0.4447892515
80	0.4443962492
81	0.4443691695
82	0.443998749
83	0.4436503257
84	0.4431714383
85	0.4426919821
86	0.4385167813
87	0.4373999393
88	0.4370808369
89	0.4367222588
90	0.4337690041
91	0.4333370129
92	0.4320530818
93	0.4300957946
94	0.4297869684
95	0.4270788415
96	0.4263514999
97	0.424189086
98	0.4215722477
99	0.4179979768
100	0.4163472731
101	0.414802569
102	0.4116099301
103	0.4096065399
104	0.4082375032
105	0.4053767676
106	0.4044658915
107	0.4031335271
108	0.4030193589
109	0.40300454
110	0.4022108105
111	0.4021775908
112	0.4008757434
113	0.3987061572
114	0.3984214599
115	0.3983085604
116	0.3978372104
117	0.3978132528
118	0.3958995165
119	0.3957199289
120	0.3955851774
121	0.3953114855
122	0.3943346818
123	0.3930227681
124	0.3928227724
125	0.3922297036
126	0.3912963121
127	0.389632749
128	0.3895966212
129	0.3895284694
130	0.3874171209
131	0.3857359323
132	0.3850166693
133	0.3835502832
134	0.3819682771
135	0.3818536245
136	0.3812394262
137	0.3807913346
138	0.3800444414
139	0.3798658467
140	0.3794162969
141	0.3767080303
142	0.3754364115
143	0.3752832951
144	0.3736728317
145	0.3733015999
146	0.3727142989
147	0.3726134598
148	0.3724765
149	0.3723165759
150	0.3719664494
151	0.371844071
152	0.3704479428
153	0.3679956646
154	0.3663026441
155	0.3654888714
156	0.3637678379
157	0.3633762203
158	0.3625576887
159	0.3621509179
160	0.3612310197
161	0.3609305305
162	0.3609003922
163	0.3605999114
164	0.3603091058
165	0.3599702444
166	0.3592684915
167	0.3587997515
168	0.3586059201
169	0.3585868412
170	0.3579893489
171	0.3577463589
172	0.3574207608
173	0.3574099948
174	0.3573114673
175	0.3556638846
176	0.3551175339
177	0.3549142927
178	0.3540073516
179	0.3538840636
180	0.3533076616
181	0.3515112749
182	0.3514407984
183	0.3503525059
184	0.3486930991
185	0.3456981133
186	0.3438914822
187	0.3428749636
188	0.3424689522
189	0.3421560991
190	0.340190354
191	0.3398168052
192	0.3375292181
193	0.3350698131
194	0.3336976539
195	0.3335105616
196	0.3333082986
197	0.3324221824
198	0.3321046441
199	0.332088862
200	0.3319690122
201	0.3311080039
202	0.3305577736
203	0.3299355267
204	0.3293089813
205	0.3292835999
206	0.3292656829
207	0.329044355
208	0.3289968266
209	0.3287457806
210	0.3283669558
211	0.3280438804
212	0.3279949339
213	0.3277703351
214	0.3275206963
215	0.3271639103
216	0.3270285407
217	0.3269562688
218	0.3265810202
219	0.3263069002
220	0.3261411847
221	0.325957362
222	0.3258379588
223	0.3257319019
224	0.3242400979
225	0.3235400738
226	0.3220550884
227	0.3217354284
228	0.3204445941
229	0.3202771348
230	0.3198555089
231	0.3184573456
232	0.3171010643
233	0.3159127805
234	0.3156200985
235	0.3152310551
236	0.3143437384
237	0.3131669842
238	0.3128481424
239	0.3127237779
240	0.312534283
241	0.3125212398
242	0.312317183
243	0.312180311
244	0.3117808873
245	0.3115473254
246	0.3114993853
247	0.3105397973
248	0.3104063731
249	0.3101810459
250	0.31015199
251	0.3099651979
252	0.3099160624
253	0.3094702613
254	0.3093358464
255	0.3075034587
256	0.3074956337
257	0.3065146539
258	0.3063809132
259	0.3061720877
260	0.3061443871
261	0.3057209019
262	0.3051354844
263	0.304519978
264	0.3034554789
265	0.3034330947
266	0.3033609434
267	0.3032825617
268	0.3031814388
269	0.3030704288
270	0.3013458815
271	0.3010889896
272	0.3004775464
273	0.3000154782
274	0.2993744341
275	0.2982248614
276	0.2979470786
277	0.2979298071
278	0.2966836375
279	0.2966360518
280	0.2955201251
281	0.2944058689
282	0.2941914236
283	0.2940188115
284	0.2938606147
285	0.2936242303
286	0.2932570357
287	0.2929827086
288	0.2929556502
289	0.2927549739
290	0.2927211225
291	0.2919615666
292	0.2918380752
293	0.2917977443
294	0.2915325882
295	0.2913970427
296	0.2908018818
297	0.2907259748
298	0.2907230489
299	0.2904885837
300	0.2904455844
301	0.2903387681
302	0.2902983538
303	0.2902956617
304	0.2902534178
305	0.2895228234
306	0.2893169474
307	0.2892969337
308	0.2891601889
309	0.2889074238
310	0.2888968237
311	0.288702069
312	0.2884347416
313	0.2881685004
314	0.287988205
315	0.2874150603
316	0.287292738
317	0.286966696
318	0.2867770864
319	0.2862031629
320	0.2860205827
321	0.2859299779
322	0.2858446944
323	0.2857254282
324	0.2855078436
325	0.2853951343
326	0.2850299598
327	0.2848941034
328	0.2846282151
329	0.284607176
330	0.2844929257
331	0.2844926643
332	0.2844809687
333	0.2841321052
334	0.2840070185
335	0.283826765
336	0.2837056996
337	0.2834899518
338	0.2832974783
339	0.2832442956
340	0.2830791409
341	0.282861676
342	0.2828338654
343	0.2828312555
344	0.2826820328
345	0.2825197876
346	0.2823616688
347	0.282196503
348	0.2814014189
349	0.2813661826
350	0.2802443343
351	0.280128893
352	0.2790273804
353	0.2783364854
354	0.2783035094
355	0.2776242179
356	0.2776201598
357	0.2772891875
358	0.2772818718
359	0.277278459
360	0.2770974634
361	0.2768910548
362	0.2762225055
363	0.2760848758
364	0.275673203
365	0.2756477486
366	0.2754674911
367	0.2752904387
368	0.2752680695
369	0.2751009433
370	0.2750937008
371	0.2748407862
372	0.274639957
373	0.2745945761
374	0.274023832
375	0.2739874703
376	0.2737395348
377	0.2735362766
378	0.2732627668
379	0.2729457301
380	0.2727211057
381	0.272682214
382	0.2726072449
383	0.2725979831
384	0.2724786842
385	0.2724627917
386	0.2723035426
387	0.2718477611
388	0.27170432
389	0.2715300289
390	0.271372175
391	0.2713617981
392	0.271279616
393	0.271222715
394	0.2711658095
395	0.2711410386
396	0.2707021617
397	0.2706946712
398	0.2697129463
399	0.269392818
400	0.2692998006
401	0.2690445252
402	0.2688067594
403	0.2685745876
404	0.2683022629
405	0.2681863992
406	0.2678790416
407	0.2678475866
408	0.2678162681
409	0.2677023138
410	0.2676518381
411	0.2676110556
412	0.2675819273
413	0.2675701608
414	0.2675555816
415	0.2675425289
416	0.2675096961
417	0.2674981457
418	0.2674015505
419	0.267360072
420	0.2672152355
421	0.2670592437
422	0.2669223109
423	0.2668554397
424	0.2668490914
425	0.2666679997
426	0.2666142223
427	0.2662368522
428	0.2653140001
429	0.2652956882
430	0.2647921416
431	0.2647184088
432	0.2644952304
433	0.2644360967
434	0.2643182351
435	0.2636451506
436	0.2636125466
437	0.2633297599
438	0.2630198791
439	0.2628570289
440	0.2625061834
441	0.2623569478
442	0.2623548468
443	0.2621886163
444	0.2619755699
445	0.2618484412
446	0.2618391463
447	0.261798999
448	0.2616838351
449	0.2608992062
450	0.2607610209
451	0.2601681638
452	0.2599933947
453	0.2599439498
454	0.259687235
455	0.2592301889
456	0.259066497
457	0.2583967285
458	0.2583198976
459	0.2578379471
460	0.2577498907
461	0.2571076162
462	0.2565659478
463	0.2562636824
464	0.2555632557
465	0.2546724407
466	0.2543545244
467	0.2542237985
468	0.25404076
469	0.253701875
470	0.2536751927
471	0.2534595155
472	0.2534395765
473	0.2527042557
474	0.2518873599
475	0.2513290054
476	0.2509324342
477	0.2507617248
478	0.2501060406
479	0.2500596555
480	0.249225192
481	0.2487674715
482	0.2487431761
483	0.2484718973
484	0.2484665777
