iter	Passed	Remaining
0	147	147772
1	158	78933
2	171	57146
3	187	46710
4	198	39511
5	212	35277
6	224	31893
7	237	29467
8	257	28367
9	270	26828
10	284	25574
11	297	24504
12	309	23471
13	322	22711
14	334	21949
15	346	21313
16	359	20778
17	371	20278
18	384	19846
19	397	19483
20	409	19109
21	422	18780
22	433	18433
23	446	18169
24	458	17896
25	470	17636
26	481	17360
27	493	17131
28	504	16896
29	518	16749
30	529	16548
31	541	16392
32	554	16251
33	567	16122
34	578	15954
35	589	15796
36	601	15643
37	613	15526
38	624	15387
39	636	15264
40	647	15144
41	659	15034
42	670	14931
43	683	14850
44	695	14757
45	707	14679
46	720	14617
47	733	14540
48	744	14451
49	757	14389
50	769	14327
51	784	14299
52	798	14265
53	811	14209
54	822	14127
55	834	14074
56	847	14023
57	860	13968
58	871	13901
59	883	13836
60	895	13785
61	908	13738
62	921	13708
63	933	13651
64	945	13604
65	960	13587
66	973	13552
67	986	13516
68	999	13481
69	1011	13444
70	1023	13397
71	1035	13351
72	1048	13316
73	1062	13300
74	1078	13301
75	1090	13261
76	1103	13226
77	1115	13183
78	1127	13144
79	1141	13126
80	1155	13114
81	1169	13090
82	1182	13060
83	1195	13033
84	1208	13007
85	1220	12969
86	1234	12952
87	1247	12926
88	1260	12906
89	1273	12876
90	1286	12848
91	1297	12809
92	1311	12786
93	1324	12761
94	1336	12730
95	1349	12712
96	1363	12693
97	1379	12701
98	1395	12704
99	1410	12691
100	1422	12666
101	1436	12645
102	1449	12624
103	1462	12602
104	1475	12578
105	1488	12557
106	1502	12536
107	1515	12513
108	1527	12485
109	1541	12468
110	1553	12439
111	1566	12418
112	1580	12402
113	1592	12380
114	1606	12361
115	1619	12340
116	1633	12327
117	1645	12297
118	1658	12277
119	1671	12258
120	1685	12247
121	1697	12218
122	1710	12194
123	1722	12171
124	1734	12140
125	1746	12114
126	1759	12095
127	1771	12069
128	1783	12039
129	1794	12008
130	1806	11984
131	1818	11960
132	1830	11934
